,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Tyukhtet,0,RU,1562802361,80,56.54,89.31,56.69,4.12
1,Atuona,0,PF,1562802361,79,-9.8,-139.03,80.45,16.02
2,Khandyga,100,RU,1562802361,67,62.65,135.58,75.05,2.59
3,La Ronge,90,CA,1562802362,72,55.1,-105.3,60.8,2.24
4,Saldanha,0,PT,1562802362,51,41.42,-6.55,71.99,3.06
5,Jamestown,67,AU,1562802056,86,-33.21,138.6,51.29,18.97
6,Punta Arenas,90,CL,1562802065,93,-53.16,-70.91,37.4,5.82
7,Sao Joao da Barra,0,BR,1562802362,88,-21.64,-41.05,62.6,2.19
8,Rikitea,0,PF,1562802055,79,-23.12,-134.97,73.61,18.52
9,Saskylakh,98,RU,1562802082,54,71.97,114.09,58.31,8.46
10,Busselton,70,AU,1562802086,77,-33.64,115.35,46.99,5.66
11,Hualmay,0,PE,1562802052,85,-11.1,-77.61,62.45,10.63
12,Cherskiy,0,RU,1562802363,27,68.75,161.3,83.87,8.5
13,Hobart,40,AU,1562801986,61,-42.88,147.33,54.0,11.41
14,New Norfolk,40,AU,1562802053,61,-42.78,147.06,54.0,11.41
15,Bambous Virieux,40,MU,1562802364,88,-20.34,57.76,69.8,2.24
16,Jasper,1,US,1562802307,49,33.83,-87.28,91.4,4.7
17,Bluff,36,AU,1562802071,62,-23.58,149.07,67.85,4.52
18,Half Moon Bay,1,US,1562802284,77,37.46,-122.43,78.01,12.75
19,Albany,40,US,1562802053,48,42.65,-73.75,84.2,5.82
20,Upernavik,2,GL,1562802365,81,72.79,-56.15,43.01,8.41
21,Bennington,1,US,1562802365,57,42.88,-73.2,84.2,3.44
22,Hasaki,75,JP,1562802063,72,35.73,140.83,68.0,9.17
23,Tacoronte,90,ES,1562802366,93,28.48,-16.41,72.0,14.99
24,Naze,95,NG,1562802059,97,5.43,7.07,72.53,2.98
25,Ribeira Grande,0,PT,1562802083,87,38.52,-28.7,70.55,6.93
